,urls
119,https://www.pagina12.com.ar/diario/sociedad/3-159771-2011-01-04.html
120,https://www.pagina12.com.ar/diario/sociedad/3-159811-2011-01-04.html
121,https://www.pagina12.com.ar/diario/sociedad/3-159812-2011-01-04.html
122,https://www.pagina12.com.ar/diario/sociedad/3-159783-2011-01-04.html
123,https://www.pagina12.com.ar/diario/sociedad/3-159784-2011-01-04.html
124,https://www.pagina12.com.ar/diario/sociedad/3-159785-2011-01-04.html
125,https://www.pagina12.com.ar/diario/sociedad/3-159786-2011-01-04.html
126,https://www.pagina12.com.ar/diario/sociedad/3-159813-2011-01-04.html
127,https://www.pagina12.com.ar/diario/sociedad/3-159814-2011-01-04.html
128,https://www.pagina12.com.ar/diario/cdigital/31-159800-2011-01-04.html
129,https://www.pagina12.com.ar/diario/cdigital/31-159801-2011-01-04.html
130,https://www.pagina12.com.ar/diario/suplementos/espectaculos/4-20395-2011-01-04.html
131,https://www.pagina12.com.ar/diario/suplementos/espectaculos/8-20397-2011-01-04.html
132,https://www.pagina12.com.ar/diario/suplementos/espectaculos/5-20398-2011-01-04.html
133,https://www.pagina12.com.ar/diario/suplementos/espectaculos/2-20399-2011-01-04.html
134,https://www.pagina12.com.ar/diario/suplementos/espectaculos/6-20396-2011-01-04.html
135,https://www.pagina12.com.ar/diario/suplementos/espectaculos/2-20400-2011-01-04.html
136,https://www.pagina12.com.ar/diario/laventana/26-159483-2011-01-04.html
137,https://www.pagina12.com.ar/diario/laventana/26-159484-2011-01-04.html
138,https://www.pagina12.com.ar/diario/laventana/26-159485-2011-01-04.html
139,https://www.pagina12.com.ar/diario/elmundo/4-159815-2011-01-04.html
140,https://www.pagina12.com.ar/diario/elmundo/4-159816-2011-01-04.html
141,https://www.pagina12.com.ar/diario/elmundo/4-159817-2011-01-04.html
142,https://www.pagina12.com.ar/diario/elmundo/4-159818-2011-01-04.html
143,https://www.pagina12.com.ar/diario/elmundo/4-159819-2011-01-04.html
144,https://www.pagina12.com.ar/diario/elmundo/4-159820-2011-01-04.html
145,https://www.pagina12.com.ar/diario/elmundo/4-159821-2011-01-04.html
146,https://www.pagina12.com.ar/diario/deportes/8-159772-2011-01-04.html
147,https://www.pagina12.com.ar/diario/deportes/8-159822-2011-01-04.html
148,https://www.pagina12.com.ar/diario/deportes/8-159823-2011-01-04.html
